tid,text,gt
219,"Responding to @USER election, Democratic Nobel Prize winning economist Paul Krugman said this on Nov. 9,2016, “If the question is when markets will recover, a first-pass answer is never.” Liberalism has never made sense in the context of reality.",2
220,"While I appreciate the Senate is almost certainly moving on #immigration next week... I am not comfortable extending the funding deadline past @USER March 5th #DACA deadline. Doing so would relieve the pressure, and we must keep the pressure on. My full statement 👇🏼",2
221,At the #USISTF publication reception for the 2013 U.S. - Israel Innovation Index.,2
222,"With USMCA, we will have stronger growth, more exports, more jobs, and rising wages. The USMCA is a big win for America’s economy. #USMCAnow",2
223,"Women make up just 48% of workers, but they are over 55% of the minimum wage earners who will receive a raise w/ $15 by 2024. #RaiseTheWage",1
224,At 5 PM ET/ 2 PM PT I will be on MSNBC's #EdShow to discuss #MH17 #UkraineCrash & U.S. foreign policy. #p2,1
225,Joined ND entrepreneurs @USER in Fargo to talk about the issues they face starting new #smallbusiness,2
226,"Obama gives #SOTU tomorrow. Will he thank John Cornyn for voting twice in 2013 to fully fund Obamacare (RCV 44, 206)?",2
227,@USER says that President Trump’s trial will be just like Clinton’s. That’s a lie. #EndTheCoverUp #DefendOurDemocracy,1
228,I will discuss the Kerry/Putin meeting and #ISIS on @USER at 6 PM ET / 3 PM PT. #SitRoom,1
229,"If Cornyn's telling you he opposes raising the debt limit, he voted to raise the debt limit eight times before this.",2
230,Celebrating in Grand Forks today the Federal Weatherization Assistance Program's 40th Bday!  HTTPURL @USER @USER,2
231,"Deaths from several major diseases have gone down, but deaths from Alzheimer's has gone way up. #EndAlz",1
232,The #wagegap means Latinas must work 21 months to make what white men make in 12 months. It's time to #RaisetheWage,1
233,"Being a mother and grandmother is my greatest joy and privilege. Every day I remember how lucky I am to be able to work to build a better New Mexico for my grandchildren to grow up in, and every day I take inspiration from my own incredible mother, Sonja.",1
234,#Dems when tv announced the bill had been pulled. #victory #ACA,1
235,"This month, we take time to honor the #LGBTQ community & its legacy of standing strong in the face of bigotry, discrimination and violence. Much progress has been made in recent years, but so much more work needs to be done #NOH8ontheHill",1
236,"State health officials have announced today 74 additional cases of #COVID19 in New Mexico, currently totaling 1,245 positive tests statewide.  Sadly, @USER has also announced six new deaths related to COVID-19, bringing the total to 26.  More info here: HTTPURL",1
237,"China and Russia are stirring up trouble in America's backyard and threatening our way of life. As they try to gain ground in Latin America, I am committed to working with @USER Admiral Craig Faller to ensure he has the resources needed to defend our nation and allies.",2
238,Supporting small businesses at Perth Amboy Small Business Saturday ribbon cutting. #ShopSmall,1
239,Honored to attend the release of the 2017 Human Trafficking Report at @USER this morning. #EndTrafficking #EndSlavery,2
240,"""This rule really, really changes the definition of navigable waters."" testimony from WI DOJ about #WOTUS",2
241,"2m+ Americans, incl 26k+ Nevadans, have lost their unemployment insurance. The clock is ticking. We must #RenewUI now",1
242,"Talked with Marysville @USER about #HeadStart early education, #CIR & economic development.",1
243,Because of #ObamaCare 3 million young adults have health insurance coverage. #p2 More facts to know about the #ACA:,1
244,No one who works full time should have to live in poverty. #1010Means they won’t. #raisethewage.,1
245,Paul Ryan and Ted Cruz make a strong case for TPA recently in the Wall Street Journal - HTTPURL…,2
246,"Did you miss our New Mexico COVID-19 update yesterday? You can watch it here: HTTPURL  The main takeaway? Social distancing is the most meaningful tool we have. The less transmission of COVID-19, the more lives we’ll save.  Stay home. Save lives. #AllTogetherNM",1
247,The LGBT Data Inclusion Act of 2016 is a vital and necessary bill #LGBTdata,1
248,Going on the House floor to speak out again the #GOPTaxScam. Short-term tax cuts followed by steep rise over the next 8 years. Say NO to this GOP giveaway to corporations and the richest 1%.,1
249,Pleased to discuss my bill to demilitarize our local police w/ @USER #militarizationofpolice #ferguson on @USER,1
250,"Today I will be voting yes on the Protecting Older Workers Against Discrimination Act (H.R.1230), a bipartisan proposal to restore strong workplace protections for older workers.",1
251,"#GeorgeFloyd #RayshardBrooks #BreonnaTaylor #KathrynJohnson #TamirRice #PhilandoCastile #EricGarner  Each killed by police, and robbed of their constitutional right to due process.  None of these notorious killings moved Congress to act.",1
252,"State health officials have announced today 101 additional cases of #COVID19 in New Mexico, currently totaling 2,823 positive tests statewide.  Sadly, @USER also announced five new deaths related to COVID-19, bringing the total to 104.  More info here: HTTPURL",1
253,I'm in @USER now preparing to question Mr. Mueller about his #MuellerReport. Every American needs to know the crimes & corruption exposed in it. #RetweetTheReport #MuellerHearing #MuellerTestimony #MuellerHearings #MuellerTestifies,1
254,"Whew! Busy Saturday in district #ForThePeople -- diversity in media @USER quality, affordable healthcare @USER & raising funds so deserving kids can attend college @USER Lithonia-Stonecrest Club. #DemsAtWork",1
255,Nice to welcome Ukraine's Deputy Prime Minister @USER to Washington on a day when @USER passes a bill to combat Russia's influence on energy in Eastern Europe.,2
256,Standing in solidarity with those arguing for marriage equality before the Supreme Court. #LoveMustWin #LoveCantWait,1
257,The escalating costs to #Medicare & #Medicaid of #Alzheimers -- not to mention the enormous emotional toll. #ENDALZ,1
258,"Chatting with @USER about how great this year's #FarmBill is, in terms we both understand: it's both a grand slam AND the Triple Crown of bipartisan bills. -SB",1
259,If it’s Sunday...it’s @USER with @USER @USER Looking forward to a good discussion with @USER @USER @USER #MuellerReport and more.,2
260,Taking #NoFlyNoBuy #NoBillNoBreak & commonsense gun reform to @USER w/ my man @USER,1
261,#ACA has provided 3 million+ people in #NJ w/ preventive health services & 105 million nationwide so far #GetCovered,1
262,Election Day is around the corner and I realized that I hadn’t updated my voter registration! Good thing I can still do so at my county clerk’s office through Nov. 2nd. The Santa Fe county clerk made it quick and easy – make sure you’re registered and ready to vote on Nov. 5th!,1
263,The #Agriculture community understands that water infrastructure bill #WRRDA is cruicial for jobs -@USER #Ag,1
264,Today at 3 PM I will be joined by state officials to give a public update on the state’s response to COVID-19 and to make an announcement regarding a statewide stay-at-home instruction.  #AllTogetherNM,1
265,"Today I had the pleasure of meeting with a delegation from the Basque Country to the United States. I’m incredibly proud of my Basque heritage. My grandparents came the U.S. from Basque Country in the early 1900’s, but we’ve always kept our heritage and our roots with us.",1
266,#TeamHorsford is continuing the celebration of #WorldRefugeeDay with @USER and @USER Refugees bring the value of diversity to our local communities and we are honored to have them here with us.,1
267,"The #GOPTaxScam was not written for middle-class workers. In GA, the top 5% of earners get more than 66% of tax breaks under the GOP plan. Nationwide, the richest Americans get a $33,000 tax break under the #GOPTaxScam. The poorest get just $40.",1
268,Francisco Williams teacher of the year at S. Miami Middle visited the Capitol today. He's the band instructor @USER,2
269,"The #opioidcrisis has taken too many lives in NY-11. I  spoke before  @USER about importance of education, treatment & enforcement.",2
270,"With #JusticeInPolicing Act, we will: - curb police brutality - end racial profiling - eliminate qualified immunity for law enforcement This is the progress our communities need. #GeorgeFloydLaw",1
271,Not sure why Lyla likes to visit Grandma & Papa so much.,2
272,RT to offer the President your pen to approve #KeystoneXL. #UseThePen,2
273,"We need to #raisethewage, and we need to do it now!",1
274,"Vice Pres Elect Mike Pence & Speaker Paul Ryan laid out an absolutely encouraging, job-creating agenda! Thank GOD!",2
275,"The nearly unanimous passage of this tough comprehensive sanctions bill shows N Korea, Iran & Russia we stand ready to hold them accountable",1
276,#Obamacare increased individual market premiums by an average of 49%,2
277,The Trump Administration is trying to make it easier for insurance companies to sell junk plans that can discriminate against those with pre-existing conditions. Comprehensive and affordable health care should be a right that all Americans share #ProtectOurCare,1
278,"As part of our celebration of #SmallBusinessWeek, I visited @USER a successful minority- & woman-owned engineering company in Ward 8. These engineers are helping to build and modernize our nation’s capital and the region. #blackwomeninSTEM",1
279,Good to see my friend Bruce Gjovig yesterday and to receive an update on UAS activities at Grand Sky.   I’m optimistic about the great potential here. #NDMilitaryTour,2
280,I voted to help pass Kate's Law to toughen penalties for deported felons who return to the US: HTTPURL,2
281,"You can refinance car & home loans, but not #studentloans. Let’s change that & help borrowers #HigherEdNotDebt",1
282,“And love is love is love is love is love is love is love is love cannot be killed or swept aside” -- .@USER Proud to have earned a 100 on .@USER congressional scorecard for my support for the #LGBTQ community!,1
283,"DC’s many small businesses are struggling due to the #coronavirus shutdown.   Navigating relief programs can be difficult, but here are some resources @USER put together to help small businesses during this critical time.  HTTPURL",1
284,"Grumpy Pants by Claire Messer was a hit for kids at Northeast Library this morning. I’ve had plenty of practice reading to my grandsons, Justin and Brendan. Happy #WorldBookDay!",1
285,"Met with Paul Diederich, new President of @USER and a North Dakotan. They will benefit from his leadership.",2
286,"Powerful words from @USER #DallasMemorial: ""We are 1 American family–all deserving of equal treatment."" #DisarmHate",1
287,"Joined with @USER to lead a bipartisan group of #Florida members urging @USER to protect Florida's specialty crop farmers, like those in #FL26, as the Administration looks to obtain a ‘handshake’ deal with Mexico to update #NAFTA.",2
288,.@USER testifies at our Halfway House roundtable. Our focus is on ensuring the selection process is open and transparent.,1
289,It’s time for a vote on the clean #DREAMAct. I signed a petition & I urge all Members to join me so we can #protectDREAMers now.,1
290,"Ohio, today is Small Business Saturday! Support your community by supporting your local small businesses → HTTPURL #ShopSmall",1
291,"In the first 6 months of 2019, more than 3,400 prescription drugs raised their prices. That’s money out of your pocket. That’s why I stood today with @USER and @USER to take a stand and declare that it’s time for Congress to take action to #LowerDrugCosts!",1
292,"Health care is a RIGHT, not a privilege for the wealthy. It's time to change the game & provide quality, affordable health care for every person living in the U.S. Proud to join @USER & @USER more than 100 of our colleagues as co-sponsors of the #MedicareforAll Act.",1
293,Want health coverage starting on Jan 1? Today is the deadline! Californians can #GetCovered at HTTPURL,1
294,"A great discussion with @USER on @USER just now about #immigration and the need for a compromise that includes a path for #Dreamers, the need for transparency from the @USER & my #Lent2018 intention to take a step back from Twitter.",2
295,"State health officials have announced today 47 additional cases of #COVID19 in New Mexico, currently totaling 1,845 positive tests statewide.  Sadly, @USER also announced two new deaths related to COVID-19, bringing the total to 55.  More info here: HTTPURL",1
296,Sat down with North Dakotans from @USER to discuss our strong support for Israel and the need to continue speaking out against anti-Semitism.,2
297,New Mexico: face masks are still required in any and all public settings.  Wearing a mask is not a political statement – it’s proof that you value the life & health of your loved ones and your community.  Face coverings significantly reduce the spread of COVID-19 – do your part.,1
298,Congress has a duty to vote on this new war against #ISIL in #Iraq & #Syria. I’m on MSNBC’s #EdShow 5 PM ET/ 2 PM PT.,1
299,Please RT! #ObamaCare architect Ezekiel Emanuel admitted President Obama’s famous promise will not be honored #PJNET,2
300,"New Mexico – please join me in thanking those New Mexicans on the frontlines of the COVID-19 pandemic: health care workers, child care providers, first responders, grocery store workers, school personnel, state & local government employees, & corrections officers.  #AllTogetherNM",1
301,"Meet Samantha Ramirez-Herrera, my guest for the #StateOfTheUnion & CEO & Founder of HTTPURL. She's a #DREAMER. #DACA recipients like Samantha are our friends, neighbors & colleagues -- they are a part of our community & their story is #OurHispanicSOTU.",1
302,"Today, I #wearblue because I believe it's time to remove barriers to the polls and #RestoreTheVOTE!",1
303,✅ HB 87 has successfully passed out of Senate committee! We must act to protect the vulnerable among us. We must be proactive. I support #HB87. #EndGunViolence,1
304,"Within 4 days, staff found 261 examples in six states of individuals convicted of diverting Medicaid-obtained painkillers, which often were sold on the street at enormous profit. #OpioidEpidemic. HTTPURL",2
305,9/11 heroes deserve permanent extension of their medical care. #renew911health,2
306,Discussed need for clean energy to reduce dependence on foreign oil & air pollution @USER recent climate change briefing,2
307,NEW: Calling on the Trump administration to suspend foreclosures and evictions on federally backed mortgages in light of #COVID19.,1
308,"I voted to strengthen Medicare, kids' #healthcare & Secure #Rural Schools program HTTPURL #SGR #docfix",1
309,"Numbers to know about health care reform law #ObamaCare #ACA. Savings for seniors, small businesses, seniors, & more",1
310,"As the grandson of #Basque immigrants, I was proud to welcome President Urkullu to the U.S.: HTTPURL",1
311,#DREAMers from Maine and Rhode Island on the Hill today with @USER calling for a #DACA solution. We’re working on it!,2
312,"Four years ago today, #LGBTQ marriage equality became the law of the land. This #PrideMonth, we celebrate that decision and take #PrideInProgress.",1
313,"Today, we remember evil that meant to tear this country apart but brought us together in a time of tragedy. 9/11/01",2
314,The fight to #ProtectOurCare isn't over. Senate Republicans are trying to pass the worst version of #Trumpcare yet.,1
315,On RioGrande this morn. Here is scorpion on child abandoned life jacket. Toured TX DPS regional hq yesterday.,2
316,"It is time for Congress to put aside bipartisan differences and ratify the #USMCA.   Let's ensure trade is both free and fair, while granting our farmers, ranchers, and manufactures the protections they deserve.  HTTPURL…",2
317,Congress must act to bolster Voting Rights Act: HTTPURL #VRA4Today,1
318,"Honored to join the grand opening of @USER Black Fire Innovation Building, a new driving force for #innovation in hospitality, gaming, and technology. Looking forward to the vast opportunities for collaboration between businesses, nonprofits, and students.",1
319,#ICYMI:  @USER is now accepting applications for the #PaycheckProtectionProgram until August 8th to help more small businesses and their employees recover from the economic impact of the coronavirus.   Find a lender: HTTPURL…  Learn more: HTTPURL…,2
320,Ayer #LevParnas - figura clave en la controversia #Ucrania que provocó el #impeachment de Trump - le concedió su primera entrevista a un medio hispanoparlante a @USER Fue un privilegio acompañar a @USER Mi agradecimiento a @USER y a mi colega @USER,2
321,Spent my morning walking in the Las Vegas #MLKDay Parade. Glad to be a part of Southern Nevada’s celebration of this great man’s legacy.,1
322,".@USER and I are getting ready to go to the #SOTU with our guests Lila and Faye, two federal contractor workers who were denied pay during the #TrumpShutdown. Our legislation would ensure they get the back pay they deserve! #BackPayNOW",1
323,"Proud to cosponsor the #ScientificIntegrityAct, which keeps the hands of political & special interests away from America’s public scientific research & reports! #ScienceNotSilence #ForThePeople",1
324,"Now more than ever, we need an independent investigation into Russian ties to ensure American people can have full confidence in findings.",1
325,Rep. Cicilline joins Brown students for a panel discussion on the future of peace talks in Israel,1
326,"New Mexico: We are depending on YOU to slow the spread of COVID-19.   The more we do on the front end, the sooner we get through it.  The safer you are, the better we'll be and the more ready we'll be to stand up our small businesses and our economy again.  #AllTogetherNM",1
327,Ending #TPS for Haitian nationals will sentence them to a life of uncertainty and despair. #SaveTPS,1
328,Had a productive meeting today with my local chapter of @USER on strategies to fight #climatechange,1
329,"HIV diagnoses among African Americans fell 8% from 2011 to 2015. We’ve made progress, but the fight is not over. This #NBHAAD, let’s recommit to #EndAIDS2030 by fighting stigma, racism, & inequalities in health care.",1
330,"As #IRS targeted conservative groups, they also spent $50 million on employee perks. RT if you agree.",2
331,"It is high time @USER brought #USMCA to the floor for a vote!  Today I joined fellow members of the TX Congressional Delegation for a bipartisan press conference highlighting the importance of passing USMCA  This isn’t a Republican win, it's a win for America!  #USMCAnow",2
332,Sometimes we need reminding of how precious & fragile freedom is. Ukraine Pres Petro Poroshenko addresses congress.,2
333,"Happy to kick off my ""Moving the Fourth Forward"" town hall series in DeKalb County #ForThePeople. I am so proud that so many constituents showed up and showed out to talk about among other issues: Common sense gun reform, impeachment, the climate crisis & healthcare. #DemsAtWork.",1
334,I was honored to serve as a guest speaker at the @USER World Refugee Day Celebration. #worldrefugeeday #refugeeswelcome,1
335,"Robust discussion today in #FL26 w/ a great group of #SouthDade growers, @USER & @USER about the need for specialty crop protections in #NAFTA #USMCA negotiations. Our #bipartisan, bicameral legislation is a possible solution. Learn more: HTTPURL",2
336,Because of the #ACA thousands of Ohioans have received an average insurance premium rebate of $133 per family in 2012,1
337,Discussed war in Ukraine w/ Ukrainian Nat'l Assoc. representatives @USER St. Demetrius Ukrainian festival in Carteret.,1
338,In Toledo for bill to make it easier for #veterans w/ post traumatic stress & traumatic brain injury to file claims.,1
339,Declaración de Cicilline sobre la eliminación de #DACA: ‘Este es un momento vergonzoso para nuestro país.’,1
340,"I’ll be at @USER Kickoff today at MLK Jr. Memorial Library, 2pm-4:30pm . Come & #GetCovered DC!",1
341,The Trump-Pence administration is at it again. Their newest proposal will gut the decades-old #TitleX family planning program - all to pacify anti-choice extremists. #ProtectTitleX HTTPURL,1
342,Families & taxpayers would save a fortune if we delay Alzheimer's by just a few years HTTPURL #EndAlz,1
343,"A 40-year-old making $30,000 per year in my district will see their health care premiums rise by more than $1,000 under #TrumpCare",1
344,"We need a fair trade deal - not ""free trade"" of #TPP which undermines #BuyAmerica policies.",1
345,"1 day, 3 historic Supreme Court decisions for the #LGBTQ community. Let’s officially recognize June 26th as #LGBTQEqualityDay. #PrideInProgress",1
346,As children we all memorized these words in our elementary school classrooms. Children are being used as hostages in a toxic debate over immigration. I am heartbroken.  #KeepFamiliesTogether.,1
347,I’m joining @USER in a few moments to discuss #Syria.,1
348,"More than 5 years ago, I helped establish @USER Monument, which STILL lacks a Visitor’s Center. Fortunately, we just voted to approve my amendment to the Interior funding bill, showing Congress’ support for a Visitor’s Center. @USER #FindYourPark #AboutTime",1
349,Because of #ACA >37M #seniors received free preventative care & 8M saved on prescription drugs HTTPURL,1
350,"@USER is one of 30,000 veterans who as DC residents are shamefully denied voting rights. Their voices must be heard on the House floor",1
351,DC residents lining up to tell their incredible #ACA stories. Real life and death consequences of repeal. #ProtectOurCare,1
352,We have an opportunity in front of us rt now—an opportunity to stand with women and take up #VAWA reauthorization. Sen Republicans are going to face a real test: Are they going to stand on the side of women? Or are they going to stand on the side of the NRA?-AK #boyfriendloophole,1
353,When I was #UCRegent I voted against #UCtuition increases. I implore Regents to vote down bad plan,1
354,.@USER @USER and I are urging federal banking agencies to ensure community financial institutions can work with their farm clients amid #COVID19.   This market disruption calls for immediate attention. Read more here  HTTPURL,2
355,Enjoyed the opportunity to sit down with @USER @USER at a #climate forum hosted by @USER A lot of Republicans are engaging the issue seriously which means we are closer to a durable bipartisan solution.,2
356,"#Trumpcare 3.0 is the cruelest version yet, especially for women. Millions stand to lose coverage. It must be defeated immediately!",1
357,Joined @USER on @USER this morning to discuss the State of the Union and the plan Democrats have put forward to make our government work #ForThePeople again.,1
358,Today we honor immigrant youth and their resilience during the 8th anniversary of #DACA. I will continue to fight for all DACA recipients and all immigrants to be protected as they continue to make strides in our country. #HomeIsHere,1
359,Stafford Student Loan rate to double in 5 days. Congress must vote to stop it #DontDoubleMyRate ,1
360,"Under #ObamaCare in #TN04, potential premium increases from49-54% in individual market & 35% in small group market",2
361,The Lilly Ledbetter law is a big step toward #EqualPay for Equal Work. Time to pass Paycheck Fairness Act. #Lilly5,1
362,"In just a minute, on @USER with @USER to discuss addition of US military advisers in #Iraq. #ISIS #ISIL",1
363,Would you have voted to fund Obamacare?  John Cornyn did.,2
364,In Canton speaking about the NAFTA-style trade deal going to the House.  #TPP,1
365,ICYMI: I met with 9/11 widow Ellen Saracini to discuss H.R. 911. This bill requires airlines to install secondary cockpit barriers to prevent 9/11-style attacks. Enhancing protections is commonsense & will help stop our enemies from turning aircrafts into tools of destruction.,2
366,"Today is #SmallBusinessSaturday, a day to support the local businesses that make NY-11 great! Whether it's creating jobs, growing our economy, or investing locally, small businesses are the backbone of our community. What is your favorite small biz on Staten Island or Brooklyn?",2
367,Today the House passed legislation to provide our troops the largest pay raise in 8 years while increasing training and supplies. #NDAA strengthens defense spending as our military ensures readiness.   Read more on the impacts to North Dakota here: HTTPURL,2
368,From press office: Rep Cicilline traveling with @USER today to Jerusalem for funeral of former Israeli President Shimon Peres.,1
369,"Because of the #COVID19 virus, a lot of us are staying home these days. Many in-person #TaxPrep sites have been closed to protect the public and volunteers. @USER is encouraging you to use #FreeFile to file online at no-cost. See if you qualify at HTTPURL.",1
370,".@USER Despite the inclusion of several policies I'd traditionally support & have championed, I made a commitment to my constituents, #Dreamers & those who support them that I wouldn't continue to let Washington ignore their calls for a solution: HTTPURL",2
371,New @USER poll: Majority of Americans support new @USER carbon pollution standards HTTPURL #ActOnClimate,1
372,Proud to see these @USER students in Washington today uniting in defense of the most fundamental right ― the right to life. #MarchForLife2018,2
373,Tomorrow is the first day you can sign up to #GetCovered for 2015. HTTPURL,1
374,"As Republicans vote to go to conference on the #GOPTaxScam, I continue to oppose this bill that raises taxes on 82 million Americans, kicks 13 million Americans off health care, & adds $1.7 trillion dollars to the debt. RT if you agree.",1
375,.@USER just signed a #VAaccountability bill demonstrating our commitment to better care for the men and women who served our nation.,2
376,"By passing the #EqualityAct, we can put an end to discrimination facing our #LGBTQ brothers & sisters across America. #HR5",1
377,Starting at 6pm: Share your #ACA story at our #ProtectOurCare Town Hall. One Judiciary Square (441 4th St. NW) @USER,1
378,"State health officials have announced today 55 additional cases of COVID-19 in New Mexico, currently totaling 191 positive tests statewide.  More information here: HTTPURL  This is the largest jump in cases yet. This does not mean panic –it means stay home.",1
379,"According to new data from the @USER the pay gap won’t close for 75 years, until 2093.   That’s too long to wait. I believe all people should have access to #equalpayforequalwork.   For more info: HTTPURL…",1
380,"Holding police accountable. Lowering health care costs. Creating millions of jobs by rebuilding America’s infrastructure.   In 2 weeks, @USER passed: The #JusticeinPolicing Act The #AffordableCare Enhancement Act The #MovingForward Act   #ForThePeople",1
381,"With loan debt at $1.1 trillion, students can't afford Congress wasting any more time #dropthatdebt #dontdoublemyrate",1
382,I spent time with the amazing students of @USER explaining how Congress works #ForThePeople and why it’s important to have a government that looks like you. Look out #Nevada! Brilliant leaders are coming your way.,1
383,.@USER final budget continues the fight to #ActOnClimate for future generations: HTTPURL,1
384,U.S. Rep. Kay Granger Honored as Guardian of Small Business by @USER HTTPURL #smallbusiness,2
385,"As UC Regent, I met too many students priced out of education to back down now #DontDoubleMyRate #p2",1
386,Access to health insurance coverage is critical to addressing disparities in health outcomes among African-Americans. #GetCovered,1
387,Today I introduced the Restore Statutory Rights Act to end #ForcedArbitration and guarantee #EqualPay,1
388,"There are 7,600 #Dreamers in my district -- just like Cinthya Moran & Damaris Gonzalez -- who need permanent protection from deportation. That is why I am proud to support #HR6, the #DreamAndPromise Act of 2019. This #HispanicHeritageMonth, I’m fighting for #DreamAndPromiseNOW",1
389,#1010means higher wages for min wage workers whose yearly income hasn't changed since '09. It's time to #RaiseTheWage,1
390,It's important to know the facts: #Ebola is NOT spread through 1. Casual contact 2. Air 3. Water 4. Food in the U.S.,1
391,"It is critical that New Mexicans understand that the only way to slow the spread of COVID-19 is to stay home.   This virus affects everyone, both young & old. Every New Mexican is susceptible.  Protect yourself & your community by staying home.  #AllTogetherNM #StayHomeSaveLives",1
392,“The time is always right to do what is right.”  Today we remember Dr. Martin Luther King Jr’s life and legacy. #MLKDay,2
393,Spoke out in support of Administration's efforts at #COP21 & the #CleanPowerPlan. Time to #ActOnClimate is now.,1
394,12:33 PM ET/ 9:33 AM PT I'm on The Ed Radio Show to discuss Unemployment Insurance: HTTPURL #RenewUI,1
395,Rep. Cicilline stands with thousands of Rhode Islanders against #MuslimBan,1
396,"Talked with Colusa High students about #DREAMers, #CIR, #Ag & bipartisanship. HTTPURL #Latism #NorCal",1
397,"Excited to moderate a panel on ""Ferguson and beyond. Bending the arc of justice together."" @USER Summit.",1
398,#OTD my mentor & civil rights leader Fannie Lou Hamer was born. She risked her life fighting for voting rights. Be sure to exercise yours.,1
399,Glad the Senate is taking action to #RaisetheWage. Now it's time for the House to act. It's #Timefor1010,1
400,Joined fellow @USER & signed the discharge petition to #raisethewage! It's time to give America a raise.,1
401,"This month I am proud to show my utmost support for the LGBT community, their families and friends. I will continue to use my privileged position as a member of Congress to fight for and support the rights of LGBTQ people. #LGBTQTogether @USER",1
402,Alizjah Swenson from Grand Forks is the North Dakota winner of the 2014 Congressional Art Competition,2
403,"Today is #WorldDiabetesDay. Insulin can cost Nevadans between $1,200 and $20,000 annually – that’s why I’m working to #LowerDrugCostsNow for my constituents. Under #HR3, the cost of insulin could decrease to only $400 per year.",1
404,1-@USER fires Comey over Russia investigation 2-Trump leaks highly sensitive intel to Russians What’s the next shoe to drop?,1
405,Getting some important help from #MarchForOurLives leaders today as we continue the fight against gun violence. Background checks work. And they save lives.   I’m co-sponsoring #HR8 to fix loopholes in the system and stop the violence that is gripping our communities.,1
406,"With growing threats from China, Russia, North Korea, Iran, and others, we must continue to invest in our armed forces and the equipment that enable our men and women in uniform to keep our nation and allies safe.",2
407,#TeamHorsford continued the celebration to #AAPIHeritageMonth with children and paper crafts at Whitney Library @USER,1
408,Yesterday we caught Chinese Natl on RioGrande border. 70 dif eastern religious sects R crossin our border. Secure it!,2
409,"New Mexico: If you're currently working, we want you to get tested for #COVID19.  Grocery & pharmacy employees, retail workers, utility employees, service industry workers, government employees – if you're a worker, you can & should get tested, whether or not you're symptomatic.",1
410,"The hardworking state employees of the @USER State Laboratory are working around the clock –literally, they are working 24/7 – to process as many COVID-19 tests as possible and get New Mexicans the essential health information they need. Please join me in thanking them!",1
411,Today @USER met with @USER to discuss escalating violence in Israel.,1
412,Showing the real impact of #TaxCuts for employees of @USER to @USER #SOTU #TaxCutsandJobsAct #TaxReform,2
413,Because of #ACA >37M #seniors received free preventative care & 8M saved on prescription drugs HTTPURL,1
414,Gun violence takes the lives of far too many people in our community. Today we #WearOrange in honor of the lives lost and those forever changed by gun violence. It’s time for commonsense solutions to #EndGunViolence.,1
415,Stafford Student Loan rate to double in 26 days. Congress must vote to stop it #DontDoubleMyRate,1
416,"Two grandmothers, Eleanor and Brenda, and the mother of our grandchildren, Tiffany, loving #MothersDay. Happy Mother’s Day, DC!",1
417,"My office dog, Hank, is in the running for the #CutestDogontheHill contest, & voting is now open! He's a shoo-in: HTTPURL",1
418,The vast majority of Americans believe Special Counsel Mueller’s report to the Attorney General must be made public. And w/o interference from the White House. They deserve the truth! #ReleaseTheReport,1
419,"Grand opening: Bayshore Resource Center, Highlands, helping Sandy victims to rebuild",1
420,"8 minutes, 46 seconds. A moment of silence for George Floyd, Breonna Taylor, Ahmaud Arbery and all of the Black lives we’ve lost. Today, we introduce the #JusticeInPolicing Act to honor them.",1
421,We can't allow shocking numbers like this to be the norm in our state or our country. Proud of our work in the House focused on wiping out the #OpioidCrisis and my bills like the #HOSTAct and #COACHAct that will help end the culture of overprescribing in our healthcare system.,2
422,"All this work on one conspiracy, but zero action on jobs, on #RaiseTheWage, on #RenewUI . This #GOPsham is a shame:",1
423,"This is a National Day of Mourning. Today we honor #GeorgeFloyd and turn our emotions into focus for securing progress and justice for his family and all Americans, no matter the color of their skin. #JusticeForGeorgeFloyd #BlackLivesMatter",1
424,"Fairness at work has everything to do with working hard, and nothing to do with who you love. Time to #PassENDA now!",1
425,"While contact tracing apps are promising to help prevent #COVID19 spread, it also raises questions about privacy & data security. There must be a balance among big data, consumer privacy & civil liberties HTTPURL That's what my 2 bills do. @USER @USER",1
426,Rep. Cicilline will be on @USER in 10 minutes to talk #Trumpcare & GOP plan to strip millions of health insurance,1
427,"“The arc of the moral universe is long, but it bends towards justice.” Dr. Martin Luther King Jr.   It is time to end discrimination against LGBTQ Americans and pass the #EqualityAct. I proudly stand with my Democratic colleagues in passing this important legislation.",1
428,Joined @USER patrolling the Rio Grande in its mission to secure the border.,2
429,"I'm fighting for the 34,100 Nevadans who need Congress to #RenewUI. @USER it's time to bring up a bill!",1
430,"I'm proud to support @USER #HeroesAct, which would provide $23B to GA to keep our essential public servants on the job. Our community is grateful for your service and I’m fighting to protect your paychecks.",1
431,Forcing Planned Parenthood to refuse #TitleX funds harms the 1.5 million people who need affordable reproductive health care. Glad I could join @USER for Pink Table Talks to ensure onerous laws are not passed to restrict an individual’s constitutional rights.,1
432,#KeepItRed was Harry Reid's instructions to John Cornyn on that debt vote #yessir #votedwithobama,2
433,Welcomed Jonah Zimmerman to the Capitol for a reception honoring #CAC2016 winners. HTTPURL,2
434,This #WomensHistoryMonth I’m taking time to celebrate the 35 women who re-took the House and are leading our #ForThePeople agenda. I’m starting strong with my friend and delegation-mate @USER  Read more about her at HTTPURL,1
435,It is alarming how out of touch Republicans are about women’s health. When is #GOP going to focus on jobs? #HR1797,1
436,Grandson Beau is loving life as a 6 week old.,2
437,Would you have voted to fund the Obamacare debacle? John Cornyn did,2
438,"Wonderful to meet the family behind SourceCut Industries, a family owned and operated business in Osseo. #SmallBusinessWeek",2
